EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
yes,no,0,no,ARW; KA,yes,RR,yes,yes,yes,Ma et al. 2015,"Surveillance Of Echinococcus Isolates From Qinghai, China.",2015,Veterinary parasitology,207,(1-2),44-8,44,48,5,10.1016/j.vetpar.2014.11.012,25480467,article,no,UGA Library,,"Echinococcosis is highly endemic over large parts of the Qinghai-Tibet Plateau (QTP), China. Based on a large number of samples, we present data on the current presence, host distribution, and genetic diversity of Echinococcus in the Qinghai Province, located in the northeastern corner of the QTP and constituting >25% of the area of the plateau. We used 521 samples (including 451 newly collected samples and 70 samples from our previous study) from humans, yaks, sheep, goats, dogs, fox, plateau pikas, and voles in 36 counties, and genotyped them using the mitochondrial DNA marker cytochrome oxidase subunit I (cox1) gene and the maximum parsimony and Bayesian reconstruction methods. Based on the 792 bp sequence matrix, we recorded 177 variable sites; 157 were parsimony-informative. A total of 105 haplotypes (H1-H105) were detected, of which H1-H15 and H90-H104, H16-H17, H18-H89, and H105 belonged to Echinococcus shiquicus, Echinococcus multilocularis, Echinococcus granulosus, and Echinococcus canadensis, respectively. Our results showed that, (i) the Qinghai Province was under a high burden of Echinococcus epidemiology; (ii) E. granulosus was the main echinococcosis threat to the local people, and the followed is E. multilocularis; (iii) there are a considerable number of haplotypes shared by domestic animals (sheep, yaks, and dogs) and humans, demonstrating the close relationship between human and domestic animals epidemiology; (iv) the threat of E. shiquicus on humans and livestock can be mostly ignored, while the infection risk of E. canadensis echinococcosis should not be neglected.",Yes,English,,location size,,"EID_173, EID_176, EID_175","EID_174, EID_177",,NA,,Snowballing
yes,yes,2,yes,not-needed,yes,RR,yes,yes,yes,Losson et al. 2003,Prevalence of Echinococcus multilocularis in the red fox (Vulpes vulpes) in southern Belgium,2003,Veterinary parasitology,117,(1-2),23-28,23,28,6,10.1016/j.vetpar.2003.08.003,14597275,article,no,UGA Library,,"Between June 1998 and February 2002, 709 red foxes killed in Wallonia (south of Belgium) were available for parasitological examination of the gut. The identification of Echinococcus multilocularis was based on morphological data. E. multilocularis adults were observed in 20.2% of the animals. The analysis of data revealed marked differences between the geological areas of Wallonia; the highest prevalence (33%) was found in the Ardenne and the lowest (0%) on the Plateau de Herve. Host gender and the collection season had no effect on the prevalence. However, the latter was significantly higher in juveniles (<8 months of age). The geographical distribution of E. multilocularis in Belgium is much wider than originally thought.",Yes,English,,,,,"GMPD_180, GMPD_177, GMPD_173","GMPD_178, GMPD_179",NA,,SystematicSearch
yes,yes,2,yes,not-needed,yes,RR,yes,yes,no,Hanosset et al. 2008,Echinococcus multilocularis in Belgium: prevalence in red foxes (Vulpes vulpes) and in different species of potential intermediate hosts,2008,Veterinary parasitology,151,(2-4),212-217,212,217,6,10.1016/j.vetpar.2007.09.024,18164551,article,no,UGA Library,,"Echinococcus multilocularis causes a rare but potentially lethal zoonotic infection in humans. This tapeworm is known to be endemic in foxes in several countries of Western and Central Europe. In Western Europe, the common vole (Microtus arvalis) and the water vole (Arvicola terrestris) are considered to be the most important intermediate host species of this cestode whereas the red fox is by far the most important final host. The purpose of this study was to provide data on the prevalences in Wallonia (Southern part of Belgium) both in the red fox and in different potential intermediate hosts. A total of 990 red foxes were examined between January 2003 and December 2004 for the presence of E. multilocularis. The average prevalence was 24.55% (22.38-27.87). Out of 1249 rodents or insectivores belonging to the species Apodemus sylvaticus, Arvicola terrestris, Clethrionomys glareolus, Microtus arvalis, Microtus agrestris and Sorex araneus, only one M. arvalis (out of 914-0.11% (0.003-0.61) and one C. glareolus (out of 23-4.3% (0.1-21.9) were found to be infected. However, the muskrat (Ondatra zibethicus) seems to be a good intermediate host as 11.18% (9.72-12.76) of the animals (n=1718) were found to be infected. A positive correlation was found between the prevalences in foxes and in muskrats in each of the different geological regions. This study indicates that the muskrat is highly sensitive to this zoonotic tapeworm and could perhaps represent a good bioindicator when studying the epidemiology of this parasitic infection in Belgium and in other countries where the muskrat is present.",Yes,English,,,location size,GMPD_123,,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,RR,yes,yes,yes,Casulli et al. 2010,Spatial distribution and genetic diversity of Echinococcus multilocularis in Hungary.,2010,Veterinary parasitology,174,(3-4),241-6,241,246,6,10.1016/j.vetpar.2010.08.023,20880633,article,no,Author Link,0,"Human alveolar echinococcosis, caused by the tapeworm Echinococcus multilocularis, is the most pathogenic helminthic zoonosis in the temperate and arctic region of Europe. Between November 2008 and February 2009, 840 red fox (Vulpes vulpes) carcasses, were randomly collected from the whole Hungarian territory. The intestinal mucosa from all the foxes was tested by sedimentation and counting technique. E. multilocularis adult worms were detected in foxes of 16 out of the 19 Hungarian counties and in the suburban areas of the capital, Budapest. The prevalence and abundance of infection was significantly (P<0.001) higher in the north-western half (16.2%, CI=14.5-17.9; m ‚Äò¬± SE=165.5 ‚Äò¬± 112.4) than in the south-eastern half of the country (4.2%, CI=3.2-5.2; m ‚Äò¬± SE=3.6 ‚Äò¬± 2.1). The highest prevalence (26.6%, CI=22.5-30.8%) and abundance (m ‚Äò¬± SE=614.2 ‚Äò¬± 469.3) was observed in the Northern Mountain Region bordering Slovakia. The multi-locus microsatellite analysis of 81 worms showed the presence of four out of the five main European profiles. The H profile was the most common profile (55.5%) with nine genotypes, followed by the G (18.5%) with two genotypes, E (13.6%) with one genotype and D (12.4%) with two genotypes. The genetic distance was not statistically correlated with the geographical distance of the samples, supporting the hypothesis that the geographical distance is only a minor factor among those involved in the genetic distribution of this parasite in Europe. These data indicate that Hungary should be considered as a peripheral area of a single European focus, where the dispersal movement of foxes resulted in the spreading of the parasite from one county to another within a time period short enough to avoid a substantial genetic drift.",Yes,English,,,,"EID_088, EID_087, EID_086","EID_075, EID_082, EID_083, EID_073, EID_074, EID_084, EID_081, EID_080, EID_076, EID_067, EID_090","EID_085, EID_079, EID_078, EID_077, EID_089",NA,,SystematicSearch
yes,no,1,yes,ARW; KA,no,not-needed,no,no,no,Varcasia et al. 2011,Cystic Echinococcosis In Sardinia: Farmers' Knowledge And Dog Infection In Sheep Farms.,2011,Veterinary parasitology,181,(2-4),335-40,335,340,6,10.1016/j.vetpar.2011.05.006,21645971,article,no,Author Link,0,"Cystic Echinococcosis (CE) is one of the most widespread parasitic diseases in Sardinia, the second largest Mediterranean island where almost 3,558,000 milk sheep were raised extensively. The aim of this survey was to evaluate the level of farmers' knowledge on CE transmission, focusing on the role of human to facilitate the persistence of this zoonosis in Sardinia after 14 years after the last campaign against CE. The other goal of the survey is to update on presence of Echinococcus granulosus in its definitive hosts through three ELISA coproantigen tests. An interview was carried out with 172 farmers. The questionnaire was designed to include possible factors associated with the transmission of Echinococcosis: ownership and number of dogs, the use of anthelmintic drugs against dog cestode, frequency of anthelmintic treatment in dogs, home slaughtering and offal disposal. Individual faecal samples were retrieved from 300 dogs, and after a preliminary macroscopic examination to discover adult worms and/or proglottids, was submitted to copromicroscopic examination. Coproantigens were then extracted according to the protocol described by Allan et al. (1992), and subsequently stored at -20√´√ßC until use. Faecal soluble antigens from E. granulosus were detected using three different ELISA coproantigen assays: (a) the commercially produced Chekit Echinotest (Bommeli, Bern, CH) based on polyclonal antibodies against adult excretory/secretory (E/S) antigens; (b) a sandwich ELISA that uses rabbit polyclonal antibodies against adult E/S antigens and biotinylated monoclonal antibody EmA9 produced against adult Echinococcus multilocularis somatic extract (Malgor et al., 1997); and (c) a sandwich assay that uses monoclonal antibody EgC3 produced by immunization with adult E. granulosus E/S products (Casaravilla et al., 2005). Questionnaire results reveal that on all farms home-slaughtering was done, and offal was used as dog meal raw (17%) or after boiling (37%), discarded in the trash (23%), or buried superficially (15%). Most farmers (69%) declared to deworm their dogs, but only 10% used cestodicidal drugs. The coprological survey of 300 farm dogs using sedimentation, flotation and three different coproantigen (CA) ELISAs resulted in a faecal prevalence of 8.3% for taeniid eggs, while the CA tests gave prevalences of 3% (Chekit Echinotest, Bommeli), 6% (EmA9 sandwich ELISA) and 10% (EgC3 sandwich ELISA). Our results show that this is not only an educational problem, but also an economic one, stressing the need that future control plans should follow an integrative approach including veterinary and medical services, farmers, breeders' associations and the Government.",not-needed,English,no E. multi detection,,,,,,NA,genera detection only,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Tolnai et al. 2013,Environmental determinants of the spatial distribution of Echinococcus multilocularis in Hungary,2013,Veterinary parasitology,198,4-Mar,292-297,292,297,6,10.1016/j.vetpar.2013.09.004,24094776,article,no,UGA Library,,"Human alveolar echinococcosis, caused by the metacestode stage of Echinococcus multilocularis, is one of the most pathogenic zoonoses in the temperate and arctic region of the Northern Hemisphere. To investigate the spatial distribution of E. multilocularis and the factors influencing this distribution in the recently identified endemic area of Hungary, 1612 red fox (Vulpes vulpes) carcasses were randomly collected from the whole Hungarian territory from November 2008 to February 2009 and from November 2012 to February 2013. The topographic positions of foxes were recorded in geographic information system database. The digitized home ranges and the vector data were used to calculate the altitude, mean annual temperature, annual precipitation, soil water retention, soil permeability, areas of land cover types and the presence and buffer zone of permanent water bodies within the fox territories. The intestinal mucosa from all the foxes was tested by sedimentation and counting technique. Multiple regression analysis was performed with environmental parameter values and E. multilocularis counts. The spatial distribution of the parasite was clumped. Based on statistical analysis, mean annual temperature and annual precipitation were the major determinants of the spatial distribution of E. multilocularis in Hungary. It can be attributed to the sensitivity of E. multilocularis eggs to high temperatures and desiccation. Although spreading and emergence of the parasite was observed in Hungary before 2009, the prevalence and intensity of infection did not change significantly between the two collection periods. It can be explained by the considerably lower annual precipitation before the second collection period.",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,RR,yes,yes,no,Maas et al. 2014,"Significant increase of Echinococcus multilocularis prevalence in foxes, but no increased predicted risk for humans",2014,Veterinary parasitology,206,(3-4),167-172,167,172,6,10.1016/j.vetpar.2014.10.006,25458562,article,no,UGA Library,,"The emergence of the zoonotic tapeworm Echinococcus multilocularis, causative agent of alveolar echinococcosis (AE), poses a public health risk. A previously designed risk map model predicted a spread of E. multilocularis and increasing numbers of alveolar echinococcosis patients in the province of Limburg, The Netherlands. This study was designed to determine trends in the prevalence and worm burden of E. multilocularis in foxes in a popular recreational area in the southern part of Limburg to assess the risk of infection for humans and to study the prevalence of E. multilocularis in dogs in the adjacent city of Maastricht. Thirty-seven hunted red foxes were tested by the intestinal scraping technique and nested PCR on colon content. Additionally, 142 fecal samples of domestic dogs from Maastricht were analyzed by qPCR for the presence of E. multilocularis. In foxes, a significantly increased prevalence of 59% (95% confidence interval 43-74%) was found, compared to the prevalence of 11% (95% CI 7-18%) in 2005-2006. Average worm burden increased to 37 worms per fox, the highest since the first detection, but consistent with the prediction about the parasite population for this region. Updated prediction on the number of AE cases did not lead to an increase in previous estimates of human AE cases up to 2018. No dogs in the city of Maastricht tested positive, but results of questionnaires showed that deworming schemes were inadequate, especially in dogs that were considered at risk for infection.",Yes,English,,,non standard location,"EID_178, EID_179",,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Laurimaa et al. 2015a,"First report of the zoonotic tapeworm Echinococcus multilocularis in raccoon dogs in Estonia, and comparisons with other countries in Europe",2015,Veterinary parasitology,212,4-Mar,200-205,200,205,6,10.1016/j.vetpar.2015.06.004,26165632,article,no,UGA Library,,"The raccoon dog (Nyctereutes procyonoides) is an alien species in Europe and an important vector of zoonotic diseases. However, compared to the red fox (Vulpes vulpes), less attention has been paid to the raccoon dog as a potentially important host for Echinococcus multilocularis, the infective agent of alveolar echinococcosis, which is an emerging infectious disease with a high mortality rate. We examined the small intestines of 249 Estonian raccoon dogs and found 1.6% of individuals to be infected with E. multilocularis. The relatively large difference between this prevalence and that found in sympatric red foxes (31.5%) sampled during the same time period might be due to differences in diet: red foxes consume significantly more arvicolid rodents - the main intermediate hosts of the parasite - especially during the coldest period of the year when raccoon dogs hibernate. Nonetheless, given the relatively high density of raccoon dogs, our results suggest that the species also represents an important definitive host species for E. multilocularis in Estonia. Compared with other countries in Europe where E. multilocularis-infected raccoon dogs have been recorded (Latvia, Lithuania, Poland, Germany, and Slovakia), the prevalence in Estonia is low. The longer hibernation period of raccoon dogs at higher latitudes may explain this pattern. Both mitochondrial and nuclear loci were analysed for Estonian isolates: based on EmsB microsatellite genotyping the Estonian isolates shared an identical genotype with E. multilocularis in northern Poland, suggesting a common history with this region. The data from more than a quarter of the mitochondrial genome (3558 bp) revealed two novel haplotypes specific to Estonia and placed them into the same haplogroup with isolates from other European regions. Considering that the raccoon dog is becoming increasingly widespread and is already relatively abundant in several countries in Europe, the role of the species must be taken into account when assessing the E. multilocularis related risks to public health.",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Vercammen et al. 2002,Survey For Trichinella Spp. In Red Foxes (Vulpes Vulpes) In Belgium.,2002,Veterinary parasitology,103,(1-2),83-8,83,88,6,10.1016/s0304-4017(01)00579-9,11751003,article,no,Author Link,0,"Concurrently with a survey for Echinococcus multilocularis in the red fox (Vulpes vulpes) in Flanders, northern Belgium, serological and parasitological analyses for Trichinella spp. were carried out from 1996 to 1999. Muscle samples from foxes in Wallonia, southern Belgium, were obtained during a survey for rabies and alveolar echinococcosis from 1998 to 2000. In muscle samples from tongue, diaphragm, hindlegs and tail of 179 Flemish foxes no larvae were found by trichinoscopy. Serum and muscle juice of, respectively 176 and 26 animals were examined using an ELISA for the detection of antibodies against excretory-secretory (ES) antigen. There were eight (4.5%) positive sera, but no positive muscle juice samples. All muscle samples from 639 foxes in Wallonia proved to be negative for larvae in artificial digestion. Serum and muscle juice of 130 and 478 foxes, respectively were examined in ES-ELISA. There were 61 (46.9%) positive sera and 90 (18.8%) positive muscle juice samples. A comparison between 88 serum and muscle juice samples of the same foxes showed that only half of the serum-positive animals were detected using muscle juice. However, for establishing the true meaning of these results, a more profound epidemiological study on the vulpine population in Belgium is necessary.",not-needed,English,no E. multi detection,,,,,,NA,,Snowballing
yes,no,1,yes,ARW; KA,yes,RR,yes,yes,yes,Petavy et al. 2000,Echinococcus multilocularis in domestic cats in France. A potential risk factor for alveolar hydatid disease contamination in humans.,2000,Veterinary parasitology,87,(2-3),151-156,151,156,6,10.1016/s0304-4017(99)00181-8,10622606,article,no,UGA Library,,"In France, in North of Alps and South of Jura, around the Swiss town of Geneva, the cestode E. multilocularis was found in three out of 81 domestic cats necropsied given by veterinarians. Morphological and morphometric features established the identity of this species. In an endemic area of alveolar hydatid disease, the prevalence of E. multilocularis in the domestic cat confirms that it is a risk factor for human beings and mainly for veterinarians.",Yes,English,,,,,"EID_190, EID_188, EID_189",,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,RR,yes,yes,no,Budke et al. 2005,A Canine Purgation Study And Risk Factor Analysis For Echinococcosis In A High Endemic Region Of The Tibetan Plateau.,2005,Veterinary parasitology,127,1,43-49,43,49,7,10.1016/j.vetpar.2004.08.024,15619374,article,no,Author Link,0,"The Tibetan plateau of western China has been shown to have a very high prevalence of human cystic echinococcosis (CE) caused by Echinococcus granulosus and human alveolar echinococcosis (AE) caused by Echinococcus multilocularis. The domestic dog is suspected to be the primary definitive host for the transmission of both E. granulosus and E. multilocularis to humans in this locality. A purgation study of 371 dogs in Shiqu County, Sichuan Province during 2002-2003 resulted in an E. multilocularis prevalence of 12% and an E. granulosus prevalence of 8%. These crude prevalences were then adjusted, based on the known sensitivity of arecoline purgation for the detection of E. granulosus and a suggested sensitivity for the detection of E. multilocularis. In addition, it was assumed that some immature parasites of either species could be misidentified morphologically and wrongly assigned. This resulted in credible true prevalence intervals of between 13-33% for E. multilocularis and 8-19% for E. granulosus. Prevalences of other intestinal helminthes found on purgation were: Taenia spp. 31%, Dipylidium caninum 1%, and ascarids 8%. Risk factors associated with the acquisition of canine echinococcosis were evaluated based on responses to a questionnaire administered to dog owners. Male dogs were more likely to be infected with Echinococcus spp. than female dogs (P<0.05) and dogs allowed to roam were more likely to be infected with E. multilocularis (P<0.05).",Yes,English,,,location size,EID_066,,,NA,,Snowballing
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Reiterova et al. 2005,Field evaluation of an intravital diagnostic test of Echinococcus multilocularis infection in red foxes.,2005,Veterinary parasitology,128,(1-2),65-71,65,71,7,10.1016/j.vetpar.2004.09.032,15725534,article,no,UGA Library,,"Echinococcus multilocularis parasitizes the small intestine of red foxes (Vulpes vulpes) and other carnivores, and has a wide distribution throughout the northern hemisphere. This cestode is the causative agent of human alveolar echinococcosis, a life-threatening helminth zoonosis. In 2000-2002, 2130 red foxes were examined for its presence in Slovakia, with a total prevalence of 30.7%. The data on occurrence were obtained by the combination of necropsy of small intestines from red foxes and coproantigen detection in faecal samples. The correlation between the number of detected specimens and the value of optical density of copro-ELISA test was found. When worm burdens were low (1-25 specimens) the sensitivity of the method was 31.3+/-8.64%, when worm burdens were >50 specimens, 81.8+/-0.66%, and with high worm burdens (>1000 specimens) the sensitivity reached 100+/-0.34%. E. multilocularis presence was detected using the nested PCR method from the eggs in the faecal samples with a 100% specificity. In epidemiological surveys of this zoonosis, it is of crucial importance to detect animals with a high level of infection, which are responsible for the bulk of environmental contamination. The advantage of copro-ELISA test lies in allowing the intravital diagnostics to be employed within the epidemiological survey of E. multilocularis occurrence in the protected and urban areas.",Yes,English,,,location size,"GMPD_374, GMPD_375",,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,RR,yes,yes,no,Ziadinov et al. 2010,Frequency Distribution Of Echinococcus Multilocularis And Other Helminths Of Foxes In Kyrgyzstan.,2010,Veterinary parasitology,171,(3-4),286-292,286,292,7,10.1016/j.vetpar.2010.04.006,20434845,article,yes,NLM,0,"Echinococcosis is a major emerging zoonosis in central Asia. A study of the helminth fauna of foxes from Naryn Oblast in central Kyrgyzstan was undertaken to investigate the abundance of Echinococcus multilocularis in a district where a high prevalence of this parasite had previously been detected in dogs. A total of 151 foxes (Vulpes vulpes) were investigated in a necropsy study. Of these 96 (64%) were infected with E. multilocularis with a mean abundance of 8669 parasites per fox. This indicates that red foxes are a major definitive host of E. multilocularis in this country. This also demonstrates that the abundance and prevalence of E. multilocularis in the natural definitive host are likely to be high in geographical regions where there is a concomitant high prevalence in alternative definitive hosts such as dogs. In addition Mesocestoides spp., Dipylidium caninum, Taenia spp., Toxocara canis, Toxascaris leonina, Capillaria and Acanthocephala spp. were found in 99 (66%), 50 (33%), 48 (32%), 46 (30%), 9 (6%), 34 (23%) and 2 (1%) of foxes, respectively. The prevalence but not the abundance of E. multilocularis decreased with age. The abundance of D. caninum also decreased with age. The frequency distribution of E. multilocularis and Mesocestoides spp. followed a zero-inflated negative binomial distribution, whilst all other helminths had a negative binomial distribution. This demonstrates that the frequency distribution of positive counts and not just the frequency of zeros in the data set can determine if a zero-inflated or non-zero-inflated model is more appropriate. This is because the prevalences of E. multolocularis and Mesocestoides spp. were the highest (and hence had fewest zero counts) yet the parasite distribution nevertheless gave a better fit to the zero-inflated models.",Yes,English,,,location size,EID_198,,,NA,,Snowballing
no,no,0,yes,NA,TBD,,yes,No,,Staubach et al. 2011,Bayesian space-time analysis of Echinococcus multilocularis-infections in foxes,2011,Veterinary parasitology,179,1,77-83,77,83,7,10.1016/j.vetpar.2011.01.065,,article,no,UGA Library,,"A total of 26,220 foxes that were hunted or found dead in Thuringia, Germany, between 1990 and 2009 were examined for infection with Echinococcus multilocularis, the causative agent of human alveolar echinococcosis, and 6853 animals were found infected. The available data on the foxes including the location (local community; district) and the date of hunting/death were analyzed using a hierarchical Bayesian spaceâ€“time model. The distribution of the model parameters and their variability was estimated on the basis of the sample size, the number of cases per spatial unit and time interval, and an adjacency matrix of the municipalities using a Markov Chain Monte Carlo simulation technique to assess the spatial and temporal changes in the distribution of the parasite. The model used to evaluate the data is widely applicable and can be applied to analyse data sets with gaps and variable sample sizes per spatial and temporal unit. In the study area, the prevalence of E. multilocularis increased from 11.9% (95% confidence interval 9.9â€“14.0%) in 1990 to 42.0% (39.1â€“44.1%) in 2005. While the infection was present in foxes only in the north-western parts of Thuringia in 1990, it had spread over the entire state by 2004. These results demand increased vigilance for human alveolar echinococcosis in Thuringia.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Learmount et al. 2012,A diagnostic study of Echinococcus multilocularis in red foxes (Vulpes vulpes) from Great Britain,2012,Veterinary parasitology,190,4-Mar,447-453,447,453,7,10.1016/j.vetpar.2012.07.003,22840643,article,no,UGA Library,,"Alveolar echinococcosis is caused by a parasitic tapeworm Echinococcus multilocularis and is a serious disease with high fatality in humans. The definitive primary host is the red fox (Vulpes vulpes) but domestic animals (dogs and to a lesser extent cats) as well as several genera of rodents can also be infected with the parasite. There is, to date, no evidence of indigenous cases of E. multilocularis in Great Britain (GB) but in most of continental Europe the parasite is considered to be endemic and/or slowly spreading. All pet dogs entering the United Kingdom (UK) under the pet travel scheme (PETS) are therefore currently treated with an anthelmintic effective against Echinococcus spp. Surveillance of red foxes is required to demonstrate disease freedom and maintain this regulation to prevent further geographical spread of the parasite to free areas within the EU. A study of 588 wild red foxes collected from across Great Britain (GB) between October 1999 and November 2000 found no Echinococcus spp. This report describes a further study of GB foxes collected predominately during 2005 and 2006. Fox faecal samples (n=384) were examined for both E. multilocularis and Echinococcus granulosus using an egg isolation procedure followed by PCR method, based on published primer sets. A non-specific primer set that amplifies Taenia spp. as well as Mesocestoides, Dipylidium and Diphyllobothrium was also included in the assay to validate the test procedure as these parasites are expected to be more common in wild fox populations. All faecal samples tested negative for both E. multilocularis and E. granulosus but results for approximately 35% of the samples indicated the presence of Taenia spp. or other closely related cestodes. This data contributes to the evidence that suggests that E. multilocularis is not present in mainland Britain and justifies the requirement for ongoing surveillance to demonstrate disease freedom.",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Szostakowska et al. 2014,"First Finding Of Echinococcus Multilocularis Dna In Soil: Preliminary Survey In Varmia-Masuria Province, Northeast Poland.",2014,Veterinary parasitology,203,(1-2),73-9,73,79,7,10.1016/j.vetpar.2014.02.028,24630709,article,no,Author Link,0,"The aim of this study was to estimate the presence of Echinococcus multilocularis DNA in the soil in rural areas of Varmia-Masuria Province, Poland, which is the region with the highest recorded number of human alveolar echinococcosis (AE) cases in this country. In total, 62 soil samples were analyzed. Samples were collected in forests near the lairs of foxes, as well as from arable fields, kitchen gardens and farmyards. The parasite DNA was detected in 11.3% of the samples. This study is the first environmental survey of the presence of E. multilocularis DNA in soil. The results demonstrate that the soil can be a direct source of human infections. These results should motivate the appropriate institutions to introduce informative and educational campaigns about the risk of infection, as well as developing methods for protecting the population, especially those living in at-risk areas. ",not-needed,English,environmental,,,,,,NA,,Snowballing
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Vervaeke et al. 2003,"Echinococcus multilocularis (Cestoda, Taeniidae) in red foxes (Vulpes vulpes) in northern Belgium.",2003,Veterinary parasitology,115,3,257-263,257,263,7,10.1016/s0304-4017(03)00212-7,12935741,article,no,Author Link,0,"The first record of the tapeworm Echinococcus multilocularis (Cestoda, Taeniidae) in Red foxes (Vulpes vulpes) in northern Belgium is described. Between 1996 and 1999, 237 dead foxes were examined for the presence of this tapeworm using the intestinal scraping technique. Four foxes (1.7%) were found to be infected with E. multilocularis and showed medium to very high parasitic burdens. Three infected foxes originated from the south of the study area and the fourth animal came from the north of the study area near the border with The Netherlands. These findings are discussed in relation to the high endemicity of E. multilocularis in southern Belgium and to the increased distribution of the Red fox (V. vulpes) in northern Belgium during the last two decades.",Yes,English,,,,GMPD_409,"GMPD_408, GMPD_410",GMPD_411,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,RR,yes,yes,yes,Borgsteede et al. 2003,The musk rat (Ondatra zibethicus) as intermediate host of cestodes in the Netherlands,2003,Veterinary parasitology,117,1,29-36,29,36,8,10.1016/j.vetpar.2003.07.015,14597276,article,no,UGA Library,,"An investigation on the presence of larval cestodes in musk rats (Ondatra zibethicus) was carried out in two regions of the Netherlands (east Groningen and south Limburg) where in a earlier study foxes with Echinococcus multilocularis were found. A total of 1726 musk rats were dissected (1200 in Groningen, 526 in Limburg). Larval stages of Taenia taeniaeformis were most frequently found (total 44.8%: Groningen 42%, Limburg 51.3%), followed by T. martis (total 6.1%: Groningen 0.7%, Limburg 18.6%). Infections with T. crassiceps (total 0.3%: Groningen 0%, Limburg 1.0%), T. polyacantha (total 0.2%; Groningen 0.3%, Limburg 0%) and E. multilocularis (0.1%: Groningen 0.1%, Limburg 0%) were rare. Infections with T. taeniaeformis were more frequent in adults (71.8%) than in juveniles (34.2%). The same was found for T. martis: adults 15.3%, juveniles 2.5%. This difference was also reflected in the relation between weight of the animals and presence of infection. Heavier animals (>1000g) were more often infected with T. taeniaeformis (74.1%) than animals less than 1000g (34.8%). In musk rats weighing less than 500g (n=155) only 5.2% were infected, but above 1200g, 82.6%. The highest number of T. taeniaeformis was 28, of T. martis 13, of T. crassiceps >1000 and of T. polyacantha 24. The E. multilocularis was in a very young stage, a few white spots in the liver. Although E. multilocularis infections were exceptional, it is expected that with a rise in the number of infected foxes in the Netherlands the number of infected musk rats will increase.",Yes,English,,,,EID_054,EID_053,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,RR,yes,yes,yes,Boucher et al. 2005,Detection Of Echinococcus Multilocularis In Wild Boars In France Using Pcr Techniques Against Larval Form.,2005,Veterinary parasitology,129,(3-4),259-66,259,266,8,10.1016/j.vetpar.2004.09.021,15845281,article,no,Author Link,0,"Recently, new data have been collected on the distribution and ecology of Echinococcus multilocularis in European countries. Different ungulates species such as pig, goat, sheep, cattle and horse are known to host incomplete development of larval E. multilocularis. We report a case of E. multilocularis portage in two wild boars from a high endemic area in France (Department of Jura). Histological examination was performed and the DNA was isolated from hepatic lesions then amplified by using three PCR methods in two distinct institutes. Molecular characterisation of PCR products revealed 99% nucleotide sequence homology with the specific sequence of the U1 sn RNA gene of E. multilocularis, 99 and 99.9% nucleotide sequence homology with the specific sequence of the cytochrome oxydase gene of Echinococcus genus and 99.9% nucleotide sequence homology with a genomic DNA sequence of Echinococcus genus for the first and the second wild boar, respectively.",Yes,English,,,,,EID_055,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Murphy et al. 2012,Freedom from Echinococcus multilocularis: an Irish perspective,2012,Veterinary parasitology,190,2-Jan,196-203,196,203,8,10.1016/j.vetpar.2012.05.009,22703963,article,no,Author Link,0,"Echinococcus multilocularis, an emerging zoonotic disease is extending its geographical distribution within the European Union (EU). At present, five member states including Ireland are considered free. Previous EU regulations on importing domestic pets allowed these countries to maintain national rules that required all dogs be treated with an anti-cestode compound before entry. The controls on the movement of pet animals within the EU were recently reviewed by the European Commission and it was decided that the five countries had to demonstrate freedom from E. multilocularis before they could continue with the mandatory tapeworm treatment. The intestines of 220, 307 and 216 foxes were examined, using the sedimentation and counting technique, for the presence of E. multilocularis in 2003, 2009 and 2010 respectively. There was no evidence of the parasite in the foxes. These data together with the negative results from 130 foxes examined by other workers during 1999 and 2000 (Wolfe et al., 2001) were used to estimate the probability of freedom using scenario trees. The result of the model suggested that the probability that Ireland was free from E. multilocularis in 2010 was high, 0.98 (95% confidence interval, 0.94-1.00), thus justifying the retention of the mandatory tapeworm treatment for dogs entering the country from other EU member states.",Yes,English,,,,,,,NA,,SystematicSearch
